case,pair_id,work_id,direction,method,source_bytes,delivered_symbols,exact_complete,recovered_goodput,encode_seconds,decode_seconds,charged_pair_seconds,packet_bits_recovered,packet_positions,skipped_positions,zero_bit_positions,completion_symbols,failure_stage
HI19-prompt1-gated,HI19-prompt1,9eca6c7146961efdac5d830200117e4d0c3fe9fd5ca37c1859d288e648d8f467,image-to-text,gated,256,635,True,3.2251968503937007,50.39722973998869,50.5861980690097,134.06785523498547,2336,584,19,0,32,
HI19-prompt1-arithmetic,HI19-prompt1,f0918a85198a207cd6d5197ac1ebe3dad84fe4e63b1f02141a6842b40c9ecd78,image-to-text,arithmetic,256,2048,False,0.0,426.652256596979,424.292565042997,882.8031467320106,1304,383,0,1665,0,capacity
HT19-row1-fixed,HT19-row1,32444df9342a4f5a5fa8641a17ebf191cc132dae3a9dfd050b9f1730eb00d4d0,text-to-image,fixed,124,2976,True,0.3333333333333333,86.70809200400254,86.19758426299086,180.50336245496874,2336,584,0,0,2392,
HT19-row1-gated,HT19-row1,9e6fee3c64c46e23134d4d29f5e180897cad5ae355fa5dcc965a560fd1f535a7,text-to-image,gated,124,2976,True,0.3333333333333333,85.57275301098707,85.35474605800118,178.52342037201743,2336,584,140,0,2252,
HT19-row1-arithmetic,HT19-row1,96b6a4e6cc55a3eab7edfce0e1389ed909ff477dd266556b09ae97239d87a0ba,text-to-image,arithmetic,124,2976,True,0.3333333333333333,85.97221497297869,86.71628176001832,180.40133036198677,2336,530,0,156,2290,
HI20-prompt1-fixed,HI20-prompt1,3581538c4e370068a43872cb0ea33975403adb8585aadb0cc3f3656a1ffac6f1,image-to-text,fixed,256,616,True,3.324675324675325,47.94070659499266,47.39732765298686,128.10399277199758,2336,584,0,0,32,
HI20-prompt1-gated,HI20-prompt1,2a39aa435bd2ee5fd5f3596db388f15e3b3ad1294fa2ebde11245962fad9c2b5,image-to-text,gated,256,652,True,3.1411042944785277,61.12463718498475,62.351334916980704,156.25839248500415,2336,584,36,0,32,
HI20-prompt1-arithmetic,HI20-prompt1,7bf867b0e5fa55df584b811abead978820b882e0aa8c46b624c05206f6b510ed,image-to-text,arithmetic,256,2048,False,0.0,375.499198747013,371.3719546539942,779.7920927430096,1949,553,0,1495,0,capacity
HT20-row1-fixed,HT20-row1,9d439c482f001426f06bc658975cab1ac486b95275665c66ca0985b25d281a86,text-to-image,fixed,128,2976,True,0.34408602150537637,86.46977508399868,86.27107445400907,180.30629289499484,2336,584,0,0,2392,
HT20-row1-gated,HT20-row1,97ea9835f48da68569b1e02e7b8e3601452c7d21231801deb524247b695f4217,text-to-image,gated,128,2976,True,0.34408602150537637,85.25786614400567,86.31541865700274,179.29972545502824,2336,584,214,0,2178,
HT20-row1-arithmetic,HT20-row1,dad643d8af7352afcc847fce7b035616fc385dd57ca304ef387cba465735280d,text-to-image,arithmetic,128,2976,True,0.34408602150537637,86.17731026600813,85.8045833039796,179.555028939998,2336,477,0,46,2453,
